name,website,category,location,y,x,fecha,info,employees,tech,companies_partner,problem_to_solve,value_ideal_customer,status,year_,cat
Mapillary,https://www.mapillary.com/,"Location Data Analytics, Location Intelligence, Navigation, Mapping, GIS, Computer Vision, Augmented Reality, Autonomous Driving","Malmö, Sweden",55.60749300000001,13.018024,September 2013,"Mapillary is the street-level imagery platform that uses computer vision to fix the world’s maps. Mapillary enables anyone to collect, share, and use street-level images. Images from any device are combined into a visualization of the world to generate map data for improving maps, developing cities, and progressing the automotive industry. Today, people and organizations all over the world have contributed more than 350 million images toward Mapillary's mission of helping people understand the world's places through images and making this data available.",40 to 50,-,-,"Mapillary addresses a growing need of keeping maps updated, a process that has traditionally been slow and expensive. Mapillary allows anyone, anywhere to capture and upload street-level imagery, using any device. Using the accompanying GPS positions and our computer vision technology, map data is automatically detected in street-level images in order to help make maps more detailed. The entire process makes Mapillary the single most scalable way to keep maps updated.","Our clients are primarily in three different sectors: mapping, GIS, and the automotive industry. Mapillary helps geospatial professionals save time and money through our integrations with ArcGIS, OpenStreetMap, and HERE tools. For the automotive industry and advancements in autonomous driving, we offer the Mapillary Vistas Dataset (https://www.mapillary.com/dataset/vistas), the world's largest and most diverse training dataset for street-level image segmentation that is publicly available. The Vistas Dataset is also available free of charge for research purposes.",Series B,2013,"location data analytics,location intelligence,navigation,mapping,gis,computer vision,augmented reality,autonomous driving"
Microsoft -Bing Maps,https://www.microsoft.com/maps,"Location Data Analytics, Location Intelligence, Mapping, GIS, Computer Vision, Augmented Reality, Blockchain, Decentralization, Internet Of Things","Redmond, Washington, USA",47.66928,-122.117856,April 1976,Microsoft enables digital transformation for the era of an intelligent cloud and an intelligent edge. Its mission is to empower every person and every organization on the planet to achieve more.,-,- ,-,"Bing Maps for Enterprise is a Microsoft cloud service for customers who need to add an intelligent business mapping and visualization solution to their commercial or consumer applications. The Bing Maps platform provides multiple API options for developer applications including a Web Control, a Windows Store apps control, a WPF control, REST Services, and Spatial Data Services. Whether it is supply chain management, CRM, BI, fleet and asset management, or website apps, Bing Maps can help developers and companies take advantage of a variety of geospatial services.","Bing Maps currently serves thousands of customers who use geospatial services in their business to improve operations and help better engage their customers. Bing Maps provides a number of REST-based web services that can be used in any application and provides features such as geocoding and routing. We also offer a web API that works on PC, MAC, and many mobile browsers; Mobile APIs that works across all mobile devices; and a Windows 10 API, which provides a Universal Windows Platform (UWP) map control. Typical application use includes planning and data visualization, store locators, fleet and asset management, and more. Please visit our Customer Stories website to view some customer success stories. https://customers.microsoft.com/en-us/search?sq=%22Bing%20Maps%22&ff=&p=0&so=story_publish_date%20desc",IPO,1976,"location data analytics,location intelligence,mapping,gis,computer vision,augmented reality,blockchain,decentralization,internet of things"
Factual,https://www.factual.com/,"Location Data Analytics, Location Intelligence, Navigation, Location-based Marketing, Mapping, GIS, Internet Of Things","Los Angeles, California, USA",34.058864,-118.41688,January 2008,"Factual is the location data company the world’s most valuable brands and technology companies trust to understand and intelligently grow their businesses.

Factual provides product and engineering teams, marketers and data analysts access to the world’s most trusted, accurate and comprehensive data on places and people worldwide, transforming products, advertising and businesses with data that puts everything in context.

Factual data is used by the world’s most innovative companies, including Amazon, Apple, Google, Facebook, Microsoft and Uber, and more than 6,000 leading brands around the world, including 48 of the top 50 national advertisers per AdAge. Factual’s data is sourced from more than 650 million verified devices, and its technology records over 40 billion device events per day.",200 to 210,"Ruby on Rails, Unix, Hadoop.","Factual data is widely distributed across the adtech ecosystem, with data integrations within DSPs and DMPs including Adobe, Amobee, AppNexus, Cadreon, DataXu, Google, LiveRamp, MediaMath, Oath, OpenX, Oracle, The Trade Desk, and more. 

We also partner with numerous other companies for an array of use cases. Customers include: Apple, Amazon, Facebook, Microsoft, and Uber. ","Factual provides the high-quality location data that companies need to innovate – to solve problems, create new services, and to change the way we experience the world. 

Factual’s data is used by marketers product and engineering teams, brand and agency marketers, and business intelligence analysts and professionals. 

For product and engineering teams, Factual’s location data enables developers to integrate data on places and people into their products and services to better understand users, build personalized and relevant interactions, and increase user engagement.

For marketers, Factual’s Geopulse suite of products is a holistic location solution built to help throughout the campaign lifecycle. Geopulse enables marketers to gain robust audience insights, effectively target campaigns, and accurately measure results. 

For business intelligence analysts and professionals, Factual’s data enables smarter, data-driven decision making. Location data can be used to analyze consumer behaviors, track footfall, build profiles for specific geographic areas, and more.","We’ve recently commissioned Forrester to conduct a Total Economic Impact study to examine the potential ROI businesses may realize by utilizing Factual location data for advertising. Forrester found that, on average, advertisers saw customer cost-per-action costs decrease by 47%, a 400% increase in reach from Factual’s scale, and an overall ROI of 202%. A media agency client summed it up best: “We’ve identified that Factual has really good, accurate data. Factual actually outperforms any of our third-party partners.” 

Factual works with brands, advertising agencies, data analysts, product teams, engineering teams - anyone who needs to apply high-quality location data to solve tough problems.",Series B,2008,"location data analytics,location intelligence,navigation,location-based marketing,mapping,gis,internet of things"
Google,https://www.google.com/maps/about/,"Location Data Analytics, Location Intelligence, Maps, Apps","San Francisco, California, USA",37.42217,-122.083929,September 1998,Google is a multinational corporation that is specialized in internet-related services and products.,10000 to 11000,-,-,-,-,IPO,1998,"location data analytics,location intelligence,maps,apps"
what3words,https://what3words.com/,"Navigation, Mapping, Urban Planning","London, UK",51.521438,-0.203102,April 2013,"what3words is the simplest way to talk about location. It has divided the world into 3m x 3m squares, each with a unique 3 word address. Now people can refer to any precise location – a delivery entrance, a picnic spot or a drone landing point – using three simple words. what3words is used by businesses, governments to operate more efficiently, and by individuals to find and share places. It is integrated into car navigation systems, can be used to deliver post in 9 countries to date, and is used by NGOs and disaster response teams to save lives.",80 to 100,-,"- Daimler - the parent company whose brand Mercedes will be the first to include what3words in their vehicles.
- Intel Capital - the venture capital arm of Intel corporation.
- Aramex - big Middle East logistic company, with significant operations in many other parts of the world. 
- Deutsche Bahn - the second largest transport company in the world, and the largest railway operator in the world in terms of revenue. 
- Horizons Ventures - this is an investment fund of Li Ka-shing.
- Wildcat Venture Partners 
- Force Over Mass Capital - UK based fund / Angel network
- Mustard Seed - growing UK based investors.","The world is actually very poorly addressed and talking about precise locations is difficult. If you are a logistics firm, a photographer, a postal service, a food delivery company or you are in the travel or navigation business, a simple way to talk about location is pretty important to you. Location is at the heart of business decisions and a number of future technological shifts. And if you want to meet a friend at a festival or park, a simple way to communicate it is essential.

The UN states that over 75% of the countries in the world either have a poorly maintained addressing system or no street addressing system at all. In the 25% of the world with well-maintained systems there are many times when street addressing just doesn’t work or is not accurate enough. Street addressing takes decades to implement and costs millions, and even then is often inadequate. While coordinates and alphanumeric systems can be precise, they are prone to errors in transcription and communication and are rarely used in everyday life.

We are not aiming to replace street addressing, but be a useful addition when street addresses are not accurate enough, and be an instant, scalable solution where they don’t exist.","Users of what3words span big businesses, governments, NGOs and individuals, but within these diverse groupings, we’re looking to identify ‘ambitious innovators’. These are people who aren’t afraid of something new and immediately see the possibilities that what3words offers. And they don’t get phased by the fact that they might have the word ‘cabbage’ in their address!

It's challenging to call out one particular company, as our mission is to become a global addressing standard. By default, that means creating an ecosystem of partners, so consumers could use 3 word addresses in many places.",Series C,2013,"navigation,mapping,urban planning"
GIS Cloud,https://www.giscloud.com,"Location Data Analytics, Location Intelligence, Mapping, GIS","Zagreb, Croatia",45.812545,15.980098000000002,October 2009,GIS Cloud is the web based geographic information system (GIS) that can visualize any data as maps. It helps organizations and businesses improve decision making and optimize operations to save money,11 to 50,-,-,-,-,Seed,2009,"location data analytics,location intelligence,mapping,gis"
Avuxi,http://www.avuxi.com/,"Location Data Analytics, Location Intelligence, Mapping, GIS","Barcelona, Spain",41.384575,2.1657990000000003,June 2014,Location insights to convert website visitors into customers,1 to 10,-,-,-,-,Seed,2014,"location data analytics,location intelligence,mapping,gis"
Sparkgeo,sparkgeo.com,"Location Data Analytics, Location Intelligence, Navigation, Remote Sensing, Photogrammetry, Mapping, GIS","Prince George, British Columbia, Canada",53.91344399999999,-122.750173,May 2010,Sparkgeo provides geospatial expertise to tech companies.,10 to 20,"python, javascript, GO, GDAL, Maptiks",-,Tech companies partner with Sparkgeo for geospatial expertise and capacity. We provide advice and the ability to execute on BIG geospatial ideas.,"In general terms we cannot share our client projects. However, we love working with startups, innovative technology companies and non-profits. The most interesting problems seem to be emerging from those sectors.",Self-Funded,2010,"location data analytics,location intelligence,navigation,remote sensing,photogrammetry,mapping,gis"
Inrix,http://inrix.com,"Location Data Analytics, Location Intelligence, Internet Of Things, Telecommunication","Kirkland, Washington, USA",47.64356400000001,-122.203718,2005,"INRIX pioneered the practice of managing traffic by analyzing data not just from road sensors, but also from vehicles. This breakthrough approach enabled INRIX to become one of the leading providers of data and insight into how people move around the world.
INRIX delivers innovative products for the automotive and transportation industries such as real-time parking and traffic information and solutions that facilitate the safe testing and deployment of autonomous vehicles. We also provide new insights to a variety of other industries that can make better business decisions by understanding how people move throughout the day.

At INRIX, we see a world of possibilities enabled by making movement – of vehicles and people – more intelligent.
",501 to 1000,-,-,-,-,Debt Financing,2005,"location data analytics,location intelligence,internet of things,telecommunication"
Satelligence,satelligence.com,"Remote Sensing, Photogrammetry, Mapping, GIS, prioritized deforestation alerts / commodity risk monitoring","Utrecht, Netherlands",52.091039,5.132194999999999,January 2016,"We provide insights based on satellite data, artificial intelligence and 30 years of on the ground experience. Resolve issues with your fields, suppliers or investees as quickly as possible. Together we make commodity production more sustainable, transparent and profitable. ",10 to 20,We use machine learning algorithms to do cloud based processing of radar and optical satellite images to assess patterns. We developed a distributed processing framework that can process global scale data in parallel. The framework runs in Kubernetes for easy scaling.,-,"Large scale production of palm oil, cocoa, coffee and rice faces enormous risks: deforestation, harvest loss, pest and disease, flooding, fires, etc. Stakeholders in the supply chain know this and initiate action. 

However, it remains unclear what is happening exactly and where?

We help companies make the right agricultural commodity sourcing and investment decisions. We provide insights based on satellite data, Artificial Intelligence and 30 years of on the ground experience. We resolve issues with clients’ fields, suppliers or investees as quickly as possible. 

Together we make commodity production more sustainable, transparent and profitable.

","We are mentioned at the Bunge Loders Croklaan dashboard for monitoring their palm oil plantations. They use this to manually check areas under serious threat of deforestation within their concessions. 

Our clients made commitments and want to reach zero deforestation commodity production. They use our risk and performance satellite data analytics alerts to follow up on deforestation areas to take action to protect forest.
","Self-Funded, Funded by an accelerator program",2016,"remote sensing,photogrammetry,mapping,gis,prioritized deforestation alerts,commodity risk monitoring"
OpenCage Data Ltd.,https://opencagedata.com/,"Location Data Analytics, Location Intelligence","London, UK",51.810241999999995,-0.088124,March 2015,"Easy, Open, Worldwide, Affordable Geocoding API",1 to 5,"OpenStreetMap, many other open data sources, Perl",integrations with many different third-party systems: https://opencagedata.com/code#3rdparty,Our geocoding API makes it easy to use open data (OSM and others),Many companies in the vehicle tracking space,Self-Funded,2015,"location data analytics,location intelligence"
"Applied Geographics, Inc. (AppGeo)",https://www.appgeo.com,"Location Data Analytics, Location Intelligence, Location-based Marketing, Mapping, GIS, Internet Of Things, Urban Planning, Human Geography","Boston, Massachusetts, USA",42.357279999999996,-71.058962,May 1991,"AppGeo is a geospatial technology innovator and problem solver with 27 years of experience working with government and the private sector across the US. Our goal is to expand the value of your geospatial investments. We specialize in solving your complex problems with a team of experts in geospatial data, spatial analysis, custom Web solutions, GIS/IT platforms, and strategy. We work by helping you to plan, build and use the right combinations of leading geospatial information technologies (geospatial IT) and geographically referenced data to increase location intelligence, and to expand the availability and utility of your information.","40 to 50
","AppGeo uses, explores, tests, innovates with today's leading technologies for geospatial IT and beyond, including: Google, CARTO, esri, Boundless, Open Source, MapLarge, MapBox, and many others.",-,"AppGeo works on the problems that are defined by our customers using a variety of leading technologies, strategies and best practices. In all of our work, we combine data with geography to improve information and generate insights. We leverage the subject matter expertise of our customers and combine it with our geospatial IT expertise and experience. Our portfolio of projects numbers more than one thousand, with sector focus ranging from environmental to transportation, to utilities, to public works, to public safety and emergency response, to defense, to public health, and telecommunications. Our work is as varied as building statewide, web-based systems for traffic reporting for state departments of transportation, or applying geoanalytics to school redistricting for a municipality. We have built custom data systems that aggregate data from thousands of individual data contributors across the nation to create a common operating picture of location of events (fire incidence) or services (broadband coverage). We've led strategic planning for federal agencies that resulted in guidelines and policies for national data standards and programmatic objectives, such as for address data and road data.","AppGeo helped to transform a statewide traffic and road condition system (built on legacy GIS technology) so that it could scale to tens to hundreds of thousands of concurrent users in response to emergency situations and natural disasters, such as a flood or hurricane. AppGeo tackled the challenge by redesigning the system using a variety of alternative, modern GIS platform, data and Cloud technologies so as to meet the scalability, reliability and performance requirements. The system surpassed concurrent usage tests by a factor of ten (and continues to do so with periodic testing) and has operated effectively through several flood, blizzard, and hurricane events, with peak usage approaching one million users per day.",Self-Funded,1991,"location data analytics,location intelligence,location-based marketing,mapping,gis,internet of things,urban planning,human geography"
SensorUp,http://www.sensorup.com,Internet Of Things,"Calgary, Canada",51.084389,-114.130578,December 2011,"We’re here to give innovators the tools they need to make the most out of the Internet of Things. Stay connected, and develop your IoT apps quickly and easily, all in accordance with the  Open Geospatial Consortium (OGC) standards. Where GiS meets IoT, SensorUp lets you build integrations fast.",10 to 20,AWS and Azure,-,SensorUp is the Multi-Sensor IoT Cloud Service Platform for Geospatial Awareness. We aggregate sensor data from multiple IoT systems and transform them into actionable insights. SensoUp is world's first OGC SensorThings API compliant IoT solution.,Department of Homeland Security and NASA JPL,Seed,2011,internet of things
MapTiler (part of Klokan Technologies),https://www.maptiler.com/,"Mapping, GIS, Map provider, GIS software development","Zug, Switzerland",,,January 2017,Software for building digital maps. Street and satellite maps of entire world ready for integration and redistribution.,10 to 20,"We are big fans of open-source software. We contribute to a significant number of open-source projects and components such as GDAL, QGIS or OpenLayers. We have developed some from scratch, e.g. OpenMapTiles, EPSG.io or WebGL Earth project.

Because we are trying to provide the best products for our clients, we often bring into production the cutting-edge technologies.",-,"The MapTiler team creates software which makes it easy to build digital maps.
Our street and satellite maps of the entire world are ready for customization and integration with your business.
Our tools can process your geodata, plans & charts, drone or aerial imagery and turn them into a zoomable map.
You can serve the maps from our hosting service but is also easy to host them yourself on your servers, or from private or public clouds of your choice or even redistribute the maps with your products.","NASA, Siemens, Bosch, IBM and many others are already using our maps in their applications instead of the more expensive and limiting Google Maps API.

Our advanced cluster software is used to render a live stream of imagery from satellites to create zoomable maps. We regularly process petabytes of aerial imagery and billions of geographic features.

Our maps help train travelers in Switzerland, display outcomes of business location intelligence analysis, shows cellphone coverage, are distributed on laptops of soldiers, deployed on the board of the airplane which takes disaster relief photos after hurricanes, and they also help to save the Amazonian rainforest from logging.",Self-Funded,2017,"mapping,gis,map provider,gis software development"
Argis Solutions,http://argis.com,"Mapping, GIS, Computer Vision, Augmented Reality","Denver, Colorado, USA",39.580764,-104.79939300000001,April 2016,"Argis Solutions specializes in delivering high-quality AR and GIS projects for a wide range of clients. With more than 20 years of experience in Esri development, we understand the intricacies of creating useful visualizations of geospatial data.",10 to 20,"ArcGIS Online and Enterprise, AR-ready iOS devices",Esri,"We help field crews overcome the limitations of locating and managing assets with 2D mapping technology. The Argis Lens, brings GIS data into the three-dimensional world they work in—creating a seamless user experience. Users can locate assets more quickly, see three-dimensional relationships they couldn't see before and benefit from an all-around increase in productivity.",Our ideal client works with assets that are ether hard to see or completely hidden. We commonly work with damage prevention specialists and the contractors who are connected with them. Our job is to make it safer to dig underground by improving communication and educating on the job site.,"Self-Funded, Angel investors",2016,"mapping,gis,computer vision,augmented reality"
Hivemapper,https://hivemapper.com/,"Location Data Analytics, Location Intelligence, Remote Sensing, Photogrammetry, Drones, Mapping, GIS, Computer Vision, Augmented Reality, Urban Planning","Burlingame, California, USA",37.593705,-122.38807800000001,January 2016,Build maps that see and reveal change,20 to 30,"TensorFlow, C++, Python, etc.",-,"Hivemapper is modern mapping infrastructure. Hivemapper provides mapping, visualization, and analytic tools—for humans and machines alike—that automatically uncovers changes humans can't see.  


Mapping is changing because the primary data source is no longer satellite imagery. Video cameras, LiDAR, radar and derived ML data will be kings of mapping data. The mapping tools we use must change.


https://blog.hivemapper.com/its-a-new-day-for-mapping-tools-b1e1c8ac7704","Whether building an autonomous delivery aircraft, assessing damage after disasters, keeping cities running, managing construction projects, or building situational intelligence for military operations, intelligent maps are core to all of these applications and Hivemapper powers them. We will be disclosing some of the top organizations that use Hivemapper in a few months.",Seed,2016,"location data analytics,location intelligence,remote sensing,photogrammetry,drones,mapping,gis,computer vision,augmented reality,urban planning"
Foursquare,https://foursquare.com,"Location Data Analytics, Location Intelligence, Mapping, GIS","New York City, USA",40.742288,-73.991663,March 2009,Foursquare is a technology company that uses location intelligence to build meaningful consumer experiences and inform business decisions.,251 to 500,-,-,-,-,Series F,2009,"location data analytics,location intelligence,mapping,gis"
Ubisense,https://www.ubisense.net/,"Location Data Analytics, Location Intelligence","Cambridge, UK",,,2002,"Ubisense is the world leader in Precise Real-Time Location Systems, providing enterprise business automation by tracking people and assets with unmatched accuracy, and enabling visibility and control of previously intractable business challenges.",251 to 500,-,-,-,-,IPO,2002,"location data analytics,location intelligence"
Harvesting,harvesting.co,"Remote Sensing, Photogrammetry, Mapping, GIS","Fremont, California, USA",52.214793,0.141129,May 2016,"We are building Agriculture Intelligence Engine which will help bring speed, accuracy and transparency in the world’s largest and oldest industry, i.e. agriculture to drive financial inclusion for farmers around the world.",10 to 20,"Remote sensing, GIS, Python",-,"Harvesting is re-imagining the ways financial institutions give and manage agriculture loans in emerging markets and specially in remote regions. It facilitates agri financing by using geospatial remote sensing to collate extensive data for banks to assess and  monitor small farm lands on crop production, management, irrigation etc.  The Agriculture Intelligence Engine created by Harvesting empowers financial institutions with information and big data to assist in lending decision and monitor throughout the loan cycle. Making it more information backed, reliable, faster and cheaper loan processing and at the same time bringing more unbanked into banking category by eliminating the chances the loan rejection due to ""perceived risks"" and inability to monitor remote area farm lands. Harvesting is facilitating in brining finance closer to farmers to bridge a huge agriculture lending deficit. It is roughly estimated that only 3% of $450bn agriculture lending demand is met. ","Harvesting is partnering with World Bank's CGAP (Consultative Group for Assisting the Poor) to assist Uganda's microfinance institution Pride to leverage traditional and alternative data sources to develop a credit scoring mechanism. The aim is to improve Pride’s decision-making capability, lower the cost of reaching smallholders coffee farm holders in Uganda and drive scale. 
In Uganda only 10 percent of smallholders have an account with a formal institution and access to credit is very low. With this partnership, Harvesting will facilitate in bringing finance closer to farmers by assessing their creditworthiness for Pride to extend loans.

",Self-Funded,2016,"remote sensing,photogrammetry,mapping,gis"
PlaceIQ,https://www.placeiq.com/,Location Intelligence,"New York City, USA",40.753979,-73.985301,2010,"PlaceIQ is a leading data and technology company that helps businesses leverage 
location-based insights to connect with and understand audiences.",101 to 250,-,-,-,-,Not Available,2010,location intelligence
Meemim Inc. (vGIS),https://www.vGIS.io,"Mapping, GIS","Toronto, Ontario, Canada",43.779179,-79.399627,October 2016,"Meemim Inc. develops leading-edge augmented reality, virtual reality and mixed reality applications. Our product portfolio includes a visual GIS platform and an array of custom mixed reality applications designed for Microsoft HoloLens. Meemim is a partner of Esri and Microsoft, and a finalist of the 2018 Microsoft Partner of the Year award in the CityNext category.

Our flagship product is vGIS. vGIS is the leading augmented reality visualization platform for GIS. Using the vGIS system, field personnel can see an augmented view that includes holographic infrastructure objects, improving their environmental assessments and increasing their situational awareness. From delivering real-time, in-field holographic visualizations of underground pipes, valves, cables and other utility objects to visualizing ground penetrating radar scans, vGIS solutions are estimated to save 12-20 hours per person per month and prevent up to 50% of excavation-related accidents resulting from human error, among other benefits.",10 to 20,"Augmented reality, Mixed reality, Virtual reality, GIS, Esri, MS Azure, HoloLens, iOS, Android","Esri, Microsoft, EOS","Collectively, municipalities and utilities have approximately 100 billion feet of underground infrastructure in North America alone. This infrastructure needs to be constantly maintained and looked after. The underground nature of most assets makes it difficult and costly to perform any infrastructure-related tasks – from trivial inspections to excavations and construction projects. Additionally, the underground placement of assets leads to frequent accidental damages during excavation, costing companies estimated $10B annually in North America alone.","Municipalities, Utilities and service providers",Self-Funded,2016,"mapping,gis"
StreetCred,streetcred.co,"Mapping, GIS, Blockchain, Decentralization","New York City, USA",40.705483,-74.012888,March 2018,"StreetCred offers accessible data for places people care about.
",1 to 5,"Blockchain, Ethereum, JavaScript, React Native (iOS & Android)",-,"StreetCred is building a blockchain-based marketplace for POI data. This data is currently too restrictive and expensive, we want to change how it is collected and distributed.",Google has the best POI data. All companies who want data of this quality but haven't had the ability to access it are potential customers.,Seed,2018,"mapping,gis,blockchain,decentralization"
Living Map,livingmap.com,"Location Data Analytics, Location Intelligence, Mapping, GIS, Internet Of Things","Bath, UK",51.382703,-2.359656,January 2012,Living Map is a digital map and data platform for the world's busiest and most complex places.,30 to 40,"We recently started moving our maps from raster tiles to vector maps, and in doing so we’ve been transitioning onto new software. At the moment, we’re using:
-	Mapnik to produce Mapbox Vector Tiles from a PostGIS datasource;
-	Mapbox GL JS with React to add rich interactivity to the user facing map;
-	Kubernetes, Docker and Google Cloud to host the server-side APIs;
-	QGIS for geospatial data management",-,"Living Map is a digital map and data platform that bridges the information gap between people and places, creating better user experiences and increased operational efficiency. Complex places suffer from a lack of readily available and accessible information, and we try to solve problems in two main areas: location information and status information. 

Using our maps people can figure out where they are (indoor or outdoor) and how to get to their destination; in addition to detailed information about points of interest and retail, IoT status and real-time transport data.

We create hyper-accurate, multi floor, digital map of any site, complete with our built-in location positioning SDK. We integrate with any customer data-sources, as well as a broad ecosystem of third-party applications. A real-time map interface is designed with custom functionality, defined with the client to solve tangible business problems.

Location data is one of the essential elements to help the users of our maps to locate themselves or any asset in their environment.","We have clients in multiple sectors, Smart Cities, transport hubs, museums and public venues. Every environment that is challenging and complex to navigate, or that has the need to visualise IoT and sensors data is an ideal customer for us.

One of the best application of our solution is with the City of Cleveland.
Cleveland’s living map has been live since 2015 and has evolved to meet the needs of the city, with layers for amenities information, transport data and cycling paths. The city is seeing the results and they recognise that ‘this wayfinding system provides a seamless experience for users.’

Another successful project is the one with the MET Museum in New York, where we provided an intuitive digital map of the museum, displaying live exhibition information and navigation to specific areas on mobile and desktop devices. This has been recognised as a key milestone in the Museum's journey toward a scalable and sustainable solution for indoor positioning and wayfinding.

We now have new ongoing projects with new cities, museums and airports, which will be live by the end of the year.",Series A,2012,"location data analytics,location intelligence,mapping,gis,internet of things"
Ubimo,ubimo.com,"Location Data Analytics, Location Intelligence, Location-based Marketing, Mapping, GIS, Activation","Tel Aviv, Israel",32.071498,34.782055,April 2013,"Ubimo is a leading Location Intelligence (LI) technology company. Ubimo’s Polaris, an innovative platform, is the disruptive force in brand marketers’ journey to turn high-quality location data into actionable insights. Polaris empowers data-driven marketers to aggregate, analyze and activate geo-spatial information. By connecting real-world consumer behavior with 1st & 3rd party data, Polaris enables brands to go beyond analytics and generate actionable intelligence at scale.",30 to 50,-,-,"We are working to erase the divide between the online and offline world in order to better understand audiences, by combining data we have from digital platforms with location data and movement patterns beyond the boundaries of specific locations. We are trying to answer the question of - who is my best audience, and how can I best reach them to create a meaningful experience and relationship with them. Our location data, powered by AI and machine learning, connects the dots of the customer journey and is able to offer one complete picture along with insights on how to improve.","Our ideal customer is any organization who wants to deeply understand their customers and use insights derived from real, rich data to better connect with them in the real world and grow their businesses. One client we are thrilled to work with is Clear Channel Outdoor, a leader in the Out-of-Home space, who with the platform give advertisers the power to optimize their OOH campaigns by entering campaign specific information like demographics, audience segments or locations to reach consumers along the pathways most traveled.",Series A,2013,"location data analytics,location intelligence,location-based marketing,mapping,gis,activation"
Gruntify,https://www.gruntify.com/,"Location Data Analytics, Location Intelligence, Mapping, GIS","Brisbane, Australia",-27.453239,153.041556,October 2014,"From its humble beginnings, as a winner of the Open Innovation challenge back in 2014, GIS People’s flagship product, Gruntify has come a long way. What started as a small pilot project to solve Queensland civic related problems, has emerged as one of Australia’s export success stories taking Australian and US markets by storm. Gruntify, which is built on Microsoft Azure, combines an award-winning blend of real-time data collection, location intelligence, collaboration, artificial intelligence and machine learning to deliver a fully integrated end-to-end productivity and workflow solution. Given its endless potential list of applications, Gruntify is crowned as “the Swiss army knife of data management and field work.”",10 to 20,"Geo-spatial, Machine Learning, Artificial Intelligence, Cloud, Mobile technologies are just some that we use.","Microsoft, DigitalGlobe, Mapbox, What3words, Esri","We discovered that the way organizations collect data is fundamentally broken – and we saw a way to fix that. Our aim is to revolutionize outdated workflows to improve productivity and management. Gruntify combines a real-time mobile app and a user-friendly data management engine to automate work in the field and the office. All field data is instantly geo-tagged in the online data management portal, and field reports can be actioned immediately via internal/external teams.","Our ideal customers are government agencies or enterprise customers. 
One example is the Queensland Department of Transport and Main Roads (TMR). They needed a way to streamline Queensland’s disaster response efforts. The existing method was a time-consuming manual process. Therefore, TMR wanted to accelerate the process of collecting damage evidence necessary for claiming relief funds. Gruntify powered the new application, called RADAR and replaced the existing process. It allowed users to capture evidence of asset damage to receive Government grants and funding for reconstruction. The app helped field users with the data collection process and uploaded field reports securely from their device. In 2017, it was put to the test when Cyclone Debbie hit the coast of Queensland causing billions of dollars in damage. Field responders could do everything on the spot all from the palm of their hand. Ultimately, RADAR accelerated processes and helped the Queensland government focus on recovery.",Funded by an accelerator program,2014,"location data analytics,location intelligence,mapping,gis"
Positium LBS,http://positium.com/,"Location Data Analytics, Location Intelligence, Urban Planning, Human Geography","Tartu, Estonia",58.374843999999996,26.716418,February 2003,"Positium is a data analytics company stemming from the University of Tartu. It is the only company in the world specialising in mobile positioning data for official statistics. Our solutions use anonymised Mobile Big Data from Mobile Network Operators and research-based methodology to turn billions of location points into meaningful and understandable statistical indicators for population statistics, tourism management and marketing, spatial planning, transportation modelling, geo-marketing, safety and security analyses, and other domains.",10 to 20,"Hadoop, Spark, PostGre, Python",-,"We are aiming to disrupt National Statistical Institutes with timely and accurate data, providing them with tools and know-how on how to turn passively collected mobile positioning data into statistics. Our solutions use anonymised Mobile Big Data from Mobile Network Operators to turn billions of location points into meaningful and understandable statistical indicators for population statistics, tourism management and marketing, spatial planning, transportation modelling, geo-marketing, safety and security analyses, and other domains. Our data processing is based on research-based methodology and we continue to work with the University of Tartu to continuously improve it.","An ideal client is a national organisation with the readiness to use mobile location data for statistics. For example, over the past year we have been working with the Ministry of Tourism in Indonesia who were interested in getting more accurate population and mobility statistics in tourism. Before using mobile data they spend a lot of funds on surveys. Mobile Positioning Data not only gave them more accurate results, but the results were timely as well.",Self-Funded,2003,"location data analytics,location intelligence,urban planning,human geography"
GeoCat BV,https://www.geocat.net,"Mapping, GIS, Spatial Data Infrastructure","Bennekom, Netherlands",51.999489000000004,5.673771,November 2007,"GeoCat offers cutting-edge, customized software and services that make publishing geospatial data on the Internet easier and more efficient. Operating in the fast growing market of Spatial Data Infrastructure (SDI) and geospatial-enabled technologies. Building sustainable, evolving applications following the Free and Open Source Software philosophy and open standards.",5 to 10,Web based geospatial software from the OSGeo stack,-,"The development of Spatial Data Infrastructures at international, national, regional and local level. Countries we deliver services to are for example The Netherlands, Belgium, Germany, Austria, Sweden, Finland, Denmark, Canada, Australia and many others",The Dutch Kadaster provides geospatial catalogue services for The Netherlands. GeoCat has been delivering the technology and knowledge for this for over ten years. Many of our clients face similar challenges in setting up and maintaining their SDI and use our technology and services for this.,Self-Funded,2007,"mapping,gis,spatial data infrastructure"
